City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
137,Mana,GF,5.6592,-53.7767,78.22,87,100,8.05,overcast clouds,2022-11-17 00:15:36
138,Esperance,AU,-33.8667,121.9,67.44,55,77,15.77,broken clouds,2022-11-17 00:15:37
139,Sabya,SA,17.1495,42.6254,80.76,68,1,6.06,clear sky,2022-11-17 00:15:37
140,Pisco,PE,-13.7,-76.2167,64.45,82,0,18.41,clear sky,2022-11-17 00:15:06
141,Ahipara,NZ,-35.1667,173.1667,68.99,64,50,7.47,light rain,2022-11-17 00:15:37
142,Narsaq,GL,60.9167,-46.05,25.02,91,54,6.67,broken clouds,2022-11-17 00:15:38
143,Khatanga,RU,71.9667,102.5,-24.34,100,98,4.92,overcast clouds,2022-11-17 00:11:54
144,Lugovoy,KZ,42.9472,72.7644,23.45,83,48,6.62,scattered clouds,2022-11-17 00:15:38
145,Iqaluit,CA,63.7506,-68.5145,6.53,78,100,4.61,light snow,2022-11-17 00:15:39
146,Novo Aripuana,BR,-5.1206,-60.3797,79.9,76,99,2.51,overcast clouds,2022-11-17 00:15:39
147,Castro,BR,-24.7911,-50.0119,58.39,74,1,5.79,clear sky,2022-11-17 00:15:39
148,Sitka,US,57.0531,-135.33,49.89,76,0,0.0,clear sky,2022-11-17 00:10:45
149,Ust-Tsilma,RU,65.441,52.1498,-5.17,100,12,3.85,few clouds,2022-11-17 00:15:40
150,Severo-Kurilsk,RU,50.6789,156.125,35.37,64,75,6.6,broken clouds,2022-11-17 00:15:40
